domain,label,family,observed_at
odsqummuripj.com,1,kraken,2025-01-04T07:52:00
kksnuldslqvg.com,1,kraken,2025-01-01T21:05:00
host1854.fecrg.com,0,benign,2025-01-02T06:54:00
host24.wazxs.com,0,benign,2025-01-01T00:24:00
ybpdsyt.net,1,conficker,2025-01-01T05:25:00
host2305.lnpzf.com,0,benign,2025-01-02T14:25:00
bananawater.org,1,matsnu,2025-01-02T23:59:00
host666.iqeli.com,0,benign,2025-01-01T11:06:00
treegrape.org,1,matsnu,2025-01-02T17:33:00
host4768.boyig.com,0,benign,2025-01-04T07:28:00
host366.fmfri.com,0,benign,2025-01-01T06:06:00
thethisthis.net,1,suppobox,2025-01-01T03:18:00
thishisnot.net,1,suppobox,2025-01-03T06:08:00
wmpzljmhvsgo.com,1,kraken,2025-01-02T15:05:00
nsonnkrhfvvj.com,1,kraken,2025-01-02T03:18:00
host4866.umamk.com,0,benign,2025-01-04T09:06:00
host486.zztwj.com,0,benign,2025-01-01T08:06:00
lshuqbn.net,1,conficker,2025-01-02T14:57:00
zoom.us,0,benign,2025-01-04T10:16:00
azure.com,0,benign,2025-01-01T08:00:00
datestone.org,1,matsnu,2025-01-01T09:37:00
awmtapyz.net,1,conficker,2025-01-01T18:13:00
apple.com,0,benign,2025-01-02T23:40:00
host3214.cseam.com,0,benign,2025-01-03T05:34:00
office.com,0,benign,2025-01-02T22:22:00
iuvghtp.ru,1,cryptolocker,2025-01-02T01:57:00
amazon.com,0,benign,2025-01-02T19:14:00
jmrqf58.biz,1,cryptolocker,2025-01-02T13:21:00
host2814.kjdkc.com,0,benign,2025-01-02T22:54:00
host4742.amlii.com,0,benign,2025-01-04T07:02:00
host3349.quonr.com,0,benign,2025-01-03T07:49:00
o0skh17b9043y1n.org,1,generic,2025-01-03T04:37:00
thethenot.net,1,suppobox,2025-01-01T02:30:00
05efdwea4p6vo4gype3.info,1,generic,2025-01-03T00:30:00
w7kf46v.info,1,cryptolocker,2025-01-04T06:35:00
tiv7q3re708g6q.net,1,generic,2025-01-02T10:31:00
goxzgsnrixyo.com,1,kraken,2025-01-03T11:51:00
jr8ky0j.biz,1,cryptolocker,2025-01-03T01:40:00
eczwtkgwngtc.com,1,kraken,2025-01-01T19:18:00
host2289.dlfhv.com,0,benign,2025-01-02T14:09:00
microsoft.com,0,benign,2025-01-02T23:14:00
facebook.com,0,benign,2025-01-01T17:01:00
amazon.com,0,benign,2025-01-03T07:32:00
beyornrxzdgg.com,1,kraken,2025-01-01T22:24:00
xkefhnwt.net,1,conficker,2025-01-02T08:26:00
host3215.pigay.com,0,benign,2025-01-03T05:35:00
yahoo.com,0,benign,2025-01-03T08:05:00
cherryfire.org,1,matsnu,2025-01-01T19:44:00
pvtis.net,1,conficker,2025-01-03T18:09:00
cyzhsrlyuqiy.com,1,kraken,2025-01-03T16:14:00
zoom.us,0,benign,2025-01-04T10:42:00
host2075.qooew.com,0,benign,2025-01-02T10:35:00
wqvnup1.ru,1,cryptolocker,2025-01-02T17:48:00
host3235.cghgk.com,0,benign,2025-01-03T05:55:00
rockfig.org,1,matsnu,2025-01-02T11:00:00
netflix.com,0,benign,2025-01-03T18:46:00
youwithhis.net,1,suppobox,2025-01-01T18:23:00
suvcblqh.net,1,conficker,2025-01-03T01:07:00
hx6hrb86jm2c1hyu44xa.ru,1,generic,2025-01-02T22:37:00
host1822.gcpkc.com,0,benign,2025-01-02T06:22:00
facebook.com,0,benign,2025-01-03T21:20:00
kowj8w4.biz,1,cryptolocker,2025-01-01T00:03:00
histheyyou.net,1,suppobox,2025-01-02T17:26:00
host4455.sjhuk.com,0,benign,2025-01-04T02:15:00
host3622.vxkkc.com,0,benign,2025-01-03T12:22:00
linkedin.com,0,benign,2025-01-04T07:44:00
xeuabbcyosgk.com,1,kraken,2025-01-04T00:25:00
kpfjnlv.net,1,conficker,2025-01-01T21:44:00
withthisthey.net,1,suppobox,2025-01-02T23:31:00
ocyoyuh.net,1,conficker,2025-01-04T03:54:00
elderrock.org,1,matsnu,2025-01-02T12:27:00
withhavenot.net,1,suppobox,2025-01-03T13:09:00
host3937.badxx.com,0,benign,2025-01-03T17:37:00
eldercherry.org,1,matsnu,2025-01-02T13:38:00
ljub6volatnq164.ru,1,generic,2025-01-02T23:25:00
apple.com,0,benign,2025-01-01T16:14:00
slack.com,0,benign,2025-01-01T18:44:00
ddxd9lo.biz,1,cryptolocker,2025-01-03T03:23:00
linkedin.com,0,benign,2025-01-03T22:37:00
t30xdxjtbcmi4vjl.ru,1,generic,2025-01-02T09:33:00
datedate.org,1,matsnu,2025-01-01T01:46:00
w0c5ip5g.biz,1,generic,2025-01-04T09:36:00
host2979.oprzs.com,0,benign,2025-01-03T01:39:00
host145.uyquf.com,0,benign,2025-01-01T02:25:00
host3890.sviiy.com,0,benign,2025-01-03T16:50:00
host4476.eorcg.com,0,benign,2025-01-04T02:36:00
host600.yxqfi.com,0,benign,2025-01-01T10:00:00
host1277.meehs.com,0,benign,2025-01-01T21:17:00
host3301.mnquk.com,0,benign,2025-01-03T07:01:00
b1g1o62elqaga5os04.com,1,generic,2025-01-02T00:18:00
host2582.civnn.com,0,benign,2025-01-02T19:02:00
live.com,0,benign,2025-01-02T21:18:00
salesforce.com,0,benign,2025-01-04T08:50:00
host1635.jcacu.com,0,benign,2025-01-02T03:15:00
vdnqjqw6.info,1,generic,2025-01-01T17:43:00
host4938.jiaru.com,0,benign,2025-01-04T10:18:00
host2096.xalil.com,0,benign,2025-01-02T10:56:00
host1902.agbjb.com,0,benign,2025-01-02T07:42:00
andhavehis.net,1,suppobox,2025-01-01T15:28:00
host2932.estbd.com,0,benign,2025-01-03T00:52:00
appleelder.org,1,matsnu,2025-01-01T15:20:00
cpgadb.net,1,conficker,2025-01-02T13:39:00
jkwpxcmiluiu.com,1,kraken,2025-01-02T06:13:00
a9oiq35.info,1,cryptolocker,2025-01-02T21:51:00
host4021.pojey.com,0,benign,2025-01-03T19:01:00
hjnstebhabcr.com,1,kraken,2025-01-01T04:32:00
host4458.wfvuw.com,0,benign,2025-01-04T02:18:00
netflix.com,0,benign,2025-01-03T15:07:00
bing.com,0,benign,2025-01-03T02:37:00
rrguylrrjmxg.com,1,kraken,2025-01-04T06:32:00
szbzvbxuutoo.com,1,kraken,2025-01-03T10:27:00
host4908.izbxa.com,0,benign,2025-01-04T09:48:00
srtjyhvrzgqg.com,1,kraken,2025-01-03T06:50:00
havehavefrom.net,1,suppobox,2025-01-02T04:10:00
ctiuxzz.net,1,conficker,2025-01-02T13:33:00
host1195.teres.com,0,benign,2025-01-01T19:55:00
host4902.oxqod.com,0,benign,2025-01-04T09:42:00
host3555.eniwn.com,0,benign,2025-01-03T11:15:00
ugnwr.net,1,conficker,2025-01-03T18:26:00
forfornot.net,1,suppobox,2025-01-04T03:12:00
waterelder.org,1,matsnu,2025-01-01T03:53:00
github.com,0,benign,2025-01-01T14:45:00
host2064.mjzec.com,0,benign,2025-01-02T10:24:00
thisfromhis.net,1,suppobox,2025-01-01T22:10:00
thefromand.net,1,suppobox,2025-01-01T18:46:00
host2576.deymn.com,0,benign,2025-01-02T18:56:00
host4603.xvhzc.com,0,benign,2025-01-04T04:43:00
treeapple.org,1,matsnu,2025-01-02T02:58:00
host3810.wwnnx.com,0,benign,2025-01-03T15:30:00
thatthatbut.net,1,suppobox,2025-01-03T22:01:00
host4483.ojrqz.com,0,benign,2025-01-04T02:43:00
kpyvpnz.net,1,conficker,2025-01-04T06:19:00
forhavehis.net,1,suppobox,2025-01-02T22:17:00
host980.hdzqw.com,0,benign,2025-01-01T16:20:00
kxdmud.net,1,conficker,2025-01-04T09:26:00
havebuthave.net,1,suppobox,2025-01-02T21:53:00
microsoft.com,0,benign,2025-01-01T01:28:00
host1799.bshie.com,0,benign,2025-01-02T05:59:00
host3534.ofufp.com,0,benign,2025-01-03T10:54:00
figdate.org,1,matsnu,2025-01-04T09:58:00
zoom.us,0,benign,2025-01-01T14:27:00
youbuthave.net,1,suppobox,2025-01-02T16:41:00
gxnwcdsyulbs.com,1,kraken,2025-01-04T06:01:00
22kyv0wuspnfwntg.ru,1,generic,2025-01-02T06:11:00
dkozrdrffbco.com,1,kraken,2025-01-03T05:08:00
fromthishis.net,1,suppobox,2025-01-03T16:02:00
aws.amazon.com,0,benign,2025-01-04T09:11:00
zqviigk.net,1,conficker,2025-01-01T12:04:00
agdefvnucxoc.com,1,kraken,2025-01-01T01:09:00
hisnotand.net,1,suppobox,2025-01-01T23:42:00
6gcrfpz.info,1,cryptolocker,2025-01-03T17:40:00
yahoo.com,0,benign,2025-01-04T02:34:00
coazrwebozuu.com,1,kraken,2025-01-03T02:47:00
host2221.wikgj.com,0,benign,2025-01-02T13:01:00
host4888.phzhc.com,0,benign,2025-01-04T09:28:00
butthatthis.net,1,suppobox,2025-01-04T02:20:00
ftwm5ms.biz,1,cryptolocker,2025-01-01T22:33:00
linkedin.com,0,benign,2025-01-01T07:20:00
host371.lqpoy.com,0,benign,2025-01-01T06:11:00
grapedate.org,1,matsnu,2025-01-02T00:57:00
wosycotfnmlz.com,1,kraken,2025-01-01T07:32:00
hufhmkbd.net,1,conficker,2025-01-03T17:26:00
k7xmlb1.biz,1,cryptolocker,2025-01-01T16:24:00
yxwmvg.net,1,conficker,2025-01-04T08:56:00
host3163.qhnia.com,0,benign,2025-01-03T04:43:00
figapple.org,1,matsnu,2025-01-01T13:49:00
zl1e589fk.com,1,generic,2025-01-01T06:42:00
netflix.com,0,benign,2025-01-03T00:55:00
zoom.us,0,benign,2025-01-04T01:39:00
stonefig.org,1,matsnu,2025-01-03T18:40:00
utxnvgxdklmu.com,1,kraken,2025-01-02T16:00:00
rfdxgvp.biz,1,cryptolocker,2025-01-03T18:22:00
host3176.kydrm.com,0,benign,2025-01-03T04:56:00
firecherry.org,1,matsnu,2025-01-02T14:50:00
cherryapple.org,1,matsnu,2025-01-03T03:21:00
thehisfor.net,1,suppobox,2025-01-03T14:13:00
host1776.gywys.com,0,benign,2025-01-02T05:36:00
host286.rbxzo.com,0,benign,2025-01-01T04:46:00
theyouhave.net,1,suppobox,2025-01-01T06:20:00
fireelder.org,1,matsnu,2025-01-04T10:11:00
ahqabxobhgkm.com,1,kraken,2025-01-01T10:09:00
mbrmm.net,1,conficker,2025-01-02T02:51:00
host1696.uzwkk.com,0,benign,2025-01-02T04:16:00
host4836.gcjvi.com,0,benign,2025-01-04T08:36:00
host1243.tpjui.com,0,benign,2025-01-01T20:43:00
2jxkn3jp9d.org,1,generic,2025-01-03T07:37:00
haveyouand.net,1,suppobox,2025-01-01T04:33:00
host4144.zriuj.com,0,benign,2025-01-03T21:04:00
nyunbalv.net,1,conficker,2025-01-04T10:38:00
host1370.izlzf.com,0,benign,2025-01-01T22:50:00
bing.com,0,benign,2025-01-03T16:34:00
host588.lldkm.com,0,benign,2025-01-01T09:48:00
cnhllwsnmrco.com,1,kraken,2025-01-01T00:15:00
host3140.ribzt.com,0,benign,2025-01-03T04:20:00
butthisbut.net,1,suppobox,2025-01-02T02:56:00
elderfig.org,1,matsnu,2025-01-01T01:12:00
host1549.eradh.com,0,benign,2025-01-02T01:49:00
sqdvzgsx.net,1,conficker,2025-01-03T21:03:00
kjbaqyvfpvjo.com,1,kraken,2025-01-02T21:59:00
host4975.qbdjz.com,0,benign,2025-01-04T10:55:00
oekbxdjkoicb.com,1,kraken,2025-01-01T12:18:00
host2816.nvwho.com,0,benign,2025-01-02T22:56:00
kqdbruiooqdl.com,1,kraken,2025-01-02T22:35:00
host1595.bwbba.com,0,benign,2025-01-02T02:35:00
dounbmsvrpnp.com,1,kraken,2025-01-03T17:37:00
eprosae.net,1,conficker,2025-01-02T05:09:00
host716.rmhny.com,0,benign,2025-01-01T11:56:00
grapefig.org,1,matsnu,2025-01-02T23:34:00
lbmdqhtj1emgzn2.tk,1,generic,2025-01-03T08:45:00
host3167.uosfy.com,0,benign,2025-01-03T04:47:00
host845.abrpw.com,0,benign,2025-01-01T14:05:00
181rgkpiwd.net,1,generic,2025-01-04T05:26:00
zjgo8lw97gy9fl.com,1,generic,2025-01-03T19:26:00
host3879.mcnmx.com,0,benign,2025-01-03T16:39:00
host2118.sxqvk.com,0,benign,2025-01-02T11:18:00
ajmpirclwqgt.com,1,kraken,2025-01-02T01:50:00
3n21bvy.biz,1,cryptolocker,2025-01-01T20:52:00
host2281.hddtw.com,0,benign,2025-01-02T14:01:00
xmpzsbtb.net,1,conficker,2025-01-04T01:42:00
afq62bwd.info,1,generic,2025-01-03T20:52:00
v8inb1611q77m4z6ag5a.org,1,generic,2025-01-01T13:23:00
slack.com,0,benign,2025-01-02T20:04:00
grapeapple.org,1,matsnu,2025-01-01T05:51:00
host3106.ylnxs.com,0,benign,2025-01-03T03:46:00
9xtkeun.info,1,cryptolocker,2025-01-02T23:18:00
uxsebtmqlbgu.com,1,kraken,2025-01-03T20:08:00
aolexxw.net,1,conficker,2025-01-03T02:21:00
host3837.bgczl.com,0,benign,2025-01-03T15:57:00
