domain,label,family,observed_at
help-amazon.co.in,0,benign,2025-01-04T01:44:15
help-apple.com,0,benign,2025-01-01T12:24:52
help-axisbank.co.in,0,benign,2025-01-01T23:46:00
help-epfo.com,0,benign,2025-01-02T13:31:28
help-facebook.in,0,benign,2025-01-04T11:38:31
help-hdfc.net,0,benign,2025-01-01T07:44:04
help-icloud.co.in,0,benign,2025-01-02T19:06:52
help-myntra.org,0,benign,2025-01-03T04:44:13
help-paytm.in,0,benign,2025-01-04T12:47:24
help-sbi.com,0,benign,2025-01-04T06:38:13
icici-care.org,0,benign,2025-01-04T10:55:41
icici-my.co.in,0,benign,2025-01-02T02:43:25
icici-official.com,0,benign,2025-01-02T15:51:41
icici-team.org,0,benign,2025-01-02T10:26:09
icloud-app.in,0,benign,2025-01-04T12:52:03
icloud-help.co.in,0,benign,2025-01-04T19:55:34
icloud-secure.org,0,benign,2025-01-01T14:29:09
icloud-team.org,0,benign,2025-01-01T16:54:50
india-apple.net,0,benign,2025-01-01T22:15:50
india-axisbank.in,0,benign,2025-01-01T22:23:46
india-flipkart.org,0,benign,2025-01-02T22:32:54
india-linkedin.org,0,benign,2025-01-03T08:32:45
india-microsoft.org,0,benign,2025-01-02T01:13:09
india-netflix.com,0,benign,2025-01-01T00:23:34
india-paytm.in,0,benign,2025-01-02T16:12:42
india-phonepe.net,0,benign,2025-01-02T11:26:31
india-uidai.org,0,benign,2025-01-03T06:21:33
irctc-login.net,0,benign,2025-01-04T19:28:53
irctc-official.co.in,0,benign,2025-01-03T18:16:33
irctc-secure.net,0,benign,2025-01-03T01:28:42
irctc-support.co.in,0,benign,2025-01-03T11:16:42
linkedin-care.org,0,benign,2025-01-03T16:54:14
linkedin-india.org,0,benign,2025-01-01T05:10:56
linkedin-my.co.in,0,benign,2025-01-04T14:20:24
linkedin-team.net,0,benign,2025-01-04T02:51:50
login-axisbank.in,0,benign,2025-01-04T11:56:19
login-dropbox.com,0,benign,2025-01-04T04:34:57
login-facebook.net,0,benign,2025-01-02T13:39:42
login-github.com,0,benign,2025-01-02T14:17:43
login-google.com,0,benign,2025-01-01T09:56:16
login-hdfc.net,0,benign,2025-01-03T12:52:52
login-irctc.net,0,benign,2025-01-01T05:58:29
login-sbi.co.in,0,benign,2025-01-01T06:27:51
login-uidai.net,0,benign,2025-01-01T20:02:16
microsoft-app.com,0,benign,2025-01-01T15:34:42
microsoft-care.com,0,benign,2025-01-02T08:38:22
microsoft-india.org,0,benign,2025-01-01T05:02:46
microsoft-support.org,0,benign,2025-01-01T00:01:20
my-dropbox.net,0,benign,2025-01-01T14:31:08
my-epfo.in,0,benign,2025-01-01T09:44:19
my-flipkart.org,0,benign,2025-01-02T10:54:01
my-github.in,0,benign,2025-01-01T02:26:51
my-icici.co.in,0,benign,2025-01-04T11:55:16
my-linkedin.co.in,0,benign,2025-01-03T10:56:25
my-phonepe.co.in,0,benign,2025-01-01T14:15:30
my-sbi.org,0,benign,2025-01-02T00:12:45
myntra-app.net,0,benign,2025-01-02T09:20:36
myntra-help.org,0,benign,2025-01-02T10:57:13
myntra-official.co.in,0,benign,2025-01-01T11:47:26
myntra-secure.org,0,benign,2025-01-04T09:29:01
netflix-care.net,0,benign,2025-01-04T23:19:16
netflix-india.com,0,benign,2025-01-02T20:43:37
netflix-support.com,0,benign,2025-01-02T22:26:24
netflix-team.net,0,benign,2025-01-01T08:14:36
official-dropbox.co.in,0,benign,2025-01-01T09:48:29
official-facebook.com,0,benign,2025-01-02T08:53:14
official-icici.com,0,benign,2025-01-02T01:24:44
official-irctc.co.in,0,benign,2025-01-04T07:33:22
official-myntra.co.in,0,benign,2025-01-01T15:29:43
paytm-care.com,0,benign,2025-01-01T02:13:00
paytm-help.in,0,benign,2025-01-04T19:16:43
paytm-india.in,0,benign,2025-01-03T02:42:14
paytm-secure.in,0,benign,2025-01-01T14:04:17
phonepe-india.net,0,benign,2025-01-03T04:08:07
phonepe-my.co.in,0,benign,2025-01-01T02:35:44
phonepe-secure.co.in,0,benign,2025-01-03T02:41:22
phonepe-support.in,0,benign,2025-01-04T21:55:11
sbi-app.com,0,benign,2025-01-04T10:51:53
sbi-help.com,0,benign,2025-01-03T18:49:23
sbi-login.co.in,0,benign,2025-01-02T01:03:45
sbi-my.org,0,benign,2025-01-02T11:11:49
secure-amazon.net,0,benign,2025-01-01T16:01:59
secure-apple.in,0,benign,2025-01-04T02:05:35
secure-epfo.org,0,benign,2025-01-03T03:07:11
secure-facebook.co.in,0,benign,2025-01-04T02:46:34
secure-flipkart.com,0,benign,2025-01-02T07:38:32
secure-google.net,0,benign,2025-01-01T21:24:29
secure-icloud.org,0,benign,2025-01-04T05:53:29
secure-irctc.net,0,benign,2025-01-04T22:32:11
secure-myntra.org,0,benign,2025-01-04T09:50:17
secure-paytm.in,0,benign,2025-01-04T05:22:12
secure-phonepe.co.in,0,benign,2025-01-04T06:32:46
support-amazon.com,0,benign,2025-01-03T23:00:55
support-apple.net,0,benign,2025-01-01T21:45:47
support-hdfc.co.in,0,benign,2025-01-03T01:41:04
support-irctc.co.in,0,benign,2025-01-02T10:07:41
support-microsoft.org,0,benign,2025-01-01T02:46:53
support-netflix.com,0,benign,2025-01-01T02:40:53
support-phonepe.in,0,benign,2025-01-02T02:49:10
support-uidai.org,0,benign,2025-01-02T00:52:35
team-amazon.in,0,benign,2025-01-03T18:28:14
team-dropbox.org,0,benign,2025-01-04T19:48:34
team-github.in,0,benign,2025-01-02T18:55:35
team-google.com,0,benign,2025-01-04T17:56:18
team-icici.org,0,benign,2025-01-04T22:50:06
team-icloud.org,0,benign,2025-01-04T19:39:50
team-linkedin.net,0,benign,2025-01-02T10:59:56
team-netflix.net,0,benign,2025-01-01T21:09:38
uidai-app.org,0,benign,2025-01-01T21:46:24
uidai-india.org,0,benign,2025-01-01T18:52:49
uidai-login.net,0,benign,2025-01-01T19:36:59
uidai-support.org,0,benign,2025-01-03T11:53:59
